Protein	Entry	Protein description	Gene.names	Gene	Mitochondrion	Annotation (general)	AgingAnnotation (elife paper)	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000197061	HIST1H4C	protein_coding	H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787]	-0.129185852888637	0.256240930538225	0.574406032840481	-0.277767857666935	0.0849315946251826	0.426438197086505	0	0.188112571437528	0.649635344155475
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000197238	HIST1H4J	protein_coding	H4 clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4785]	-0.150510557897834	0.235807433650492	0.559649575298082	-0.290155167111987	0.0715402662890243	0.415351399919197	0	0.227042327971185	0.702134005316274
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000197837	HIST4H4	protein_coding	H4 histone 16 [Source:HGNC Symbol;Acc:HGNC:20510]	-0.514258312509954	-0.174698714441842	0.212209171840028	-0.241697581455343	0.123193191397261	0.457559779019885	0	0.373929059569672	0.509096083859277
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000270276	HIST2H4B	protein_coding	H4 clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:29607]	-0.366544533745301	0.00756720489927503	0.379572543444224	-0.491147215596453	-0.165632673887286	0.200473283449665	0	0.969514881995342	0.37320849140318
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000270882	HIST2H4A	protein_coding	H4 clustered histone 14 [Source:HGNC Symbol;Acc:HGNC:4794]	-0.334889501387752	0.043639758908724	0.410040818193267	-0.244368248233622	0.120396983136714	0.455312785091096	0	0.825484479545013	0.518831170605932
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000274618	HIST1H4F	protein_coding	H4 clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4783]	-0.286740827936597	0.0966784074342452	0.453401820060301	-0.127475537384565	0.237596756024767	0.545971500848708	0	0.624558993900578	0.198079116172346
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000275126	HIST1H4L	protein_coding	H4 clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4791]	-0.390710929537354	-0.0206430382203103	0.355169205168247	-0.283773691563311	0.0784552970356002	0.421089196480814	0	0.916960331051123	0.674837977756369
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000276180	HIST1H4I	protein_coding	H4 clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4793]	-0.275151258799348	0.109127934550095	0.463340815416157	-0.223353331229158	0.14224444753273	0.472756273348682	0	0.58041484156235	0.445265704082616
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000276966	HIST1H4E	protein_coding	H4 clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4790]	-0.101880502052413	0.281911682333618	0.592656151571368	-0.501208875317787	-0.178585204295968	0.187627996980933	-1	0.146114560792473	0.3364433443609
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000277157	HIST1H4D	protein_coding	H4 clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4782]	-0.0421442439750851	0.336219072266541	0.630241316535618	-0.553671037812288	-0.247981970517307	0.116604151643121	-1	0.0802346141736087	0.178597042083061
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000278637	HIST1H4A	protein_coding	H4 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4781]	-0.308880756096287	0.0725574199441287	0.433889185510559	-0.281851627662961	0.0805312567026109	0.422806403422924	0	0.713680606379243	0.666720029978817
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000278705	HIST1H4B	protein_coding	H4 clustered histone 2 [Source:HGNC Symbol;Acc:HGNC:4789]	-0.165457996309551	0.221278111729907	0.549030508445648	-0.484351221629756	-0.156947170933681	0.209016941076257	0	0.257799282836389	0.399128627826399
HAT1_HUMAN	O14929	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1)	HAT1 KAT1	HAT1	TRUE	Histone	Epigenetic Alterations	ENSG00000128708	HAT1	protein_coding	histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]	-0.274027108237645	0.110329118288755	0.464295081621201	-0.551223654523163	-0.244673280188708	0.120077243664853	0	0.576229495929729	0.184651225203803
SMYD3_HUMAN	Q9H7B4	Histone-lysine N-methyltransferase SMYD3 (EC 2.1.1.354) (SET and MYND domain-containing protein 3) (Zinc finger MYND domain-containing protein 1)	SMYD3 ZMYND1 ZNFN3A1	SMYD3	FALSE	Histone	Epigenetic Alterations	ENSG00000185420	SMYD3	protein_coding	SET and MYND domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15513]	-0.490119260857769	-0.108094106908492	0.308766297693575	-0.355943342394172	0.0456010850864881	0.432931256285151	0	0.615133881234867	0.828641189640903
SIR2_HUMAN	Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 SIR2L SIR2L2	SIRT2	FALSE	Immunity	Epigenetic Alterations	ENSG00000068903	SIRT2	protein_coding	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	-0.385945271596076	-0.0150328875245114	0.36006342928051	-0.421404786381825	-0.0788365961060411	0.283420877171948	0	0.939479598947923	0.673344202130146
SIR3_HUMAN	Q9NTG7	NAD-dependent protein deacetylase sirtuin-3, mitochondrial (hSIRT3) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 3) (SIR2-like protein 3)	SIRT3 SIR2L3	SIRT3	TRUE	Mitochondria	Epigenetic Alterations	ENSG00000142082	SIRT3	protein_coding	sirtuin 3 [Source:HGNC Symbol;Acc:HGNC:14931]	-0.292092428409873	0.0908889352312144	0.448749415211169	-0.279612940221213	0.0829452344680874	0.424800128404988	0	0.64554060515178	0.657326605254691
SIR5_HUMAN	Q9NXA8	NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5) (SIR2-like protein 5)	SIRT5 SIR2L5	SIRT5	TRUE	Mitochondria	Epigenetic Alterations	ENSG00000124523	SIRT5	protein_coding	sirtuin 5 [Source:HGNC Symbol;Acc:HGNC:14933]	-0.220099137973438	0.166663153916197	0.50814457867449	-0.15975935198241	0.206256788981652	0.522416099337996	0	0.39663714699606	0.265614157641363
FBRL_HUMAN	P22087	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase) (U6 snRNA 2'-O-methyltransferase fibrillarin)	FBL FIB1 FLRN	FBL	FALSE	Protein modification	Epigenetic Alterations	ENSG00000105202	FBL	protein_coding	fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]	-0.597108355007038	-0.288242428734972	0.0950565590368172	-0.35687941597883	-0.00290689205701012	0.351795587301232	0	0.136889153420924	0.987617501765918
ANM5_HUMAN	O14744	Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	PRMT5 HRMT1L5 IBP72 JBP1 SKB1	PRMT5	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000100462	PRMT5	protein_coding	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	-0.220338309105196	0.166418764426171	0.507958097850578	-0.68263403197254	-0.433039511920955	-0.0929641091809114	-1	0.397339807299633	0.0149594174628307
ANM7_HUMAN	Q9NVM4	Protein arginine N-methyltransferase 7 (EC 2.1.1.321) (Histone-arginine N-methyltransferase PRMT7) ([Myelin basic protein]-arginine N-methyltransferase PRMT7)	PRMT7 KIAA1933	PRMT7	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000132600	PRMT7	protein_coding	protein arginine methyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:25557]	-0.477395496865315	-0.0135441705731988	0.456210691131623	-0.720829500429182	-0.419760750660646	0.0145653445084227	0	0.957461209169983	0.0581752171188197
ASH2L_HUMAN	Q9UBL3	Set1/Ash2 histone methyltransferase complex subunit ASH2 (ASH2-like protein)	ASH2L ASH2L1	ASH2L	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000129691	ASH2L	protein_coding	ASH2 like, histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:744]	-0.543955703111738	-0.119196186548486	0.35418889170064	-0.446381204859767	-0.0048106931692115	0.438643887997793	0	0.626945614126483	0.983940634068859
CARM1_HUMAN	Q86X55	Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4)	CARM1 PRMT4	CARM1	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000142453	CARM1	protein_coding	coactivator associated arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23393]	-0.766002910372311	-0.550145457542188	-0.222796812122662	-0.504512524221936	-0.182862567920179	0.183358356461753	1	0.00242086177334723	0.324805238991545
HDAC1_HUMAN	Q13547	Histone deacetylase 1 (HD1) (EC 3.5.1.98)	HDAC1 RPD3L1	HDAC1	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000116478	HDAC1	protein_coding	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	-0.61225048028991	-0.218920865307456	0.261267819226618	-0.711818486059331	-0.39313216225597	0.0597902850855383	0	0.367873755425789	0.0863872936095053
HDAC2_HUMAN	Q92769	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	HDAC2	HDAC2	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000196591	HDAC2	protein_coding	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	-0.54606888263053	-0.217251711326172	0.169569061202216	-0.337761821945493	0.0188321817446645	0.370698630579997	0	0.266781652508315	0.919905298833739
JMJD6_HUMAN	Q6NYC1	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR)	JMJD6 KIAA0585 PSR PTDSR	JMJD6	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000070495	JMJD6	protein_coding	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	-0.576563216223356	-0.215600876244669	0.215777713680431	-0.762218530885673	-0.531911888741801	-0.18207393582026	0	0.323148802534413	0.00516127491485721
KDM1A_HUMAN	O60341	Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A)	KDM1A AOF2 KDM1 KIAA0601 LSD1	KDM1A	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000004487	KDM1A	protein_coding	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	-0.100577532569332	0.325102847896059	0.650176152405588	-0.346713442346758	0.0469429391065443	0.426538933552572	0	0.130113518361824	0.819866999265222
KDM3B_HUMAN	Q7LBC6	Lysine-specific demethylase 3B (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2B) (Jumonji domain-containing protein 1B) (Nuclear protein 5qNCA) ([histone H3]-dimethyl-L-lysine(9) demethylase 3B)	KDM3B C5orf7 JHDM2B JMJD1B KIAA1082	KDM3B	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000120733	KDM3B	protein_coding	lysine demethylase 3B [Source:HGNC Symbol;Acc:HGNC:1337]	-0.436158787837688	-0.0292077432467437	0.387661684068931	-0.244748389807724	0.157538822323989	0.513552276923199	0	0.894753605610622	0.442127835649167
SETD3_HUMAN	Q86TU7	Actin-histidine N-methyltransferase (EC 2.1.1.85) (SET domain-containing protein 3) (hSETD3)	SETD3 C14orf154	SETD3	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000183576	SETD3	protein_coding	SET domain containing 3, actin histidine methyltransferase [Source:HGNC Symbol;Acc:HGNC:20493]	-0.331397492293584	0.0475595441944939	0.4133030838091	-0.331194634243001	0.0262228868564913	0.377059437984669	0	0.810079540590961	0.88863880085507
