Protein	Entry	Protein.description	Gene.names	Gene	Mitochondrion	Annotation..general.	AgingAnnotation..elife.paper.	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval	group
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000197061	HIST1H4C	protein_coding	H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787]	-0.1291858529	 0.2562409305	 0.5744060328	-0.2777678577	 8.493159e-02	 4.264382e-01	 0	1.881126e-01	0.6496353442	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000197238	HIST1H4J	protein_coding	H4 clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4785]	-0.1505105579	 0.2358074337	 0.5596495753	-0.2901551671	 7.154027e-02	 4.153514e-01	 0	2.270423e-01	0.7021340053	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000197837	HIST4H4	protein_coding	H4 histone 16 [Source:HGNC Symbol;Acc:HGNC:20510]	-0.5142583125	-0.1746987144	 0.2122091718	-0.2416975815	 1.231932e-01	 4.575598e-01	 0	3.739291e-01	0.5090960839	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000270276	HIST2H4B	protein_coding	H4 clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:29607]	-0.3665445337	 0.0075672049	 0.3795725434	-0.4911472156	-1.656327e-01	 2.004733e-01	 0	9.695149e-01	0.3732084914	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000270882	HIST2H4A	protein_coding	H4 clustered histone 14 [Source:HGNC Symbol;Acc:HGNC:4794]	-0.3348895014	 0.0436397589	 0.4100408182	-0.2443682482	 1.203970e-01	 4.553128e-01	 0	8.254845e-01	0.5188311706	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000274618	HIST1H4F	protein_coding	H4 clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4783]	-0.2867408279	 0.0966784074	 0.4534018201	-0.1274755374	 2.375968e-01	 5.459715e-01	 0	6.245590e-01	0.1980791162	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000275126	HIST1H4L	protein_coding	H4 clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4791]	-0.3907109295	-0.0206430382	 0.3551692052	-0.2837736916	 7.845530e-02	 4.210892e-01	 0	9.169603e-01	0.6748379778	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000276180	HIST1H4I	protein_coding	H4 clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4793]	-0.2751512588	 0.1091279346	 0.4633408154	-0.2233533312	 1.422444e-01	 4.727563e-01	 0	5.804148e-01	0.4452657041	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000276966	HIST1H4E	protein_coding	H4 clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4790]	-0.1018805021	 0.2819116823	 0.5926561516	-0.5012088753	-1.785852e-01	 1.876280e-01	-1	1.461146e-01	0.3364433444	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000277157	HIST1H4D	protein_coding	H4 clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4782]	-0.0421442440	 0.3362190723	 0.6302413165	-0.5536710378	-2.479820e-01	 1.166042e-01	-1	8.023461e-02	0.1785970421	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000278637	HIST1H4A	protein_coding	H4 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4781]	-0.3088807561	 0.0725574199	 0.4338891855	-0.2818516277	 8.053126e-02	 4.228064e-01	 0	7.136806e-01	0.6667200300	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000278705	HIST1H4B	protein_coding	H4 clustered histone 2 [Source:HGNC Symbol;Acc:HGNC:4789]	-0.1654579963	 0.2212781117	 0.5490305084	-0.4843512216	-1.569472e-01	 2.090169e-01	 0	2.577993e-01	0.3991286278	
HAT1_HUMAN	O14929	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1)	HAT1 KAT1	HAT1	TRUE	Histone	Epigenetic Alterations	ENSG00000128708	HAT1	protein_coding	histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]	-0.2740271082	 0.1103291183	 0.4642950816	-0.5512236545	-2.446733e-01	 1.200772e-01	 0	5.762295e-01	0.1846512252	
SMYD3_HUMAN	Q9H7B4	Histone-lysine N-methyltransferase SMYD3 (EC 2.1.1.354) (SET and MYND domain-containing protein 3) (Zinc finger MYND domain-containing protein 1)	SMYD3 ZMYND1 ZNFN3A1	SMYD3	FALSE	Histone	Epigenetic Alterations	ENSG00000185420	SMYD3	protein_coding	SET and MYND domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15513]	-0.4901192609	-0.1080941069	 0.3087662977	-0.3559433424	 4.560109e-02	 4.329313e-01	 0	6.151339e-01	0.8286411896	
SIR2_HUMAN	Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 SIR2L SIR2L2	SIRT2	FALSE	Immunity	Epigenetic Alterations	ENSG00000068903	SIRT2	protein_coding	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	-0.3859452716	-0.0150328875	 0.3600634293	-0.4214047864	-7.883660e-02	 2.834209e-01	 0	9.394796e-01	0.6733442021	
SIR3_HUMAN	Q9NTG7	NAD-dependent protein deacetylase sirtuin-3, mitochondrial (hSIRT3) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 3) (SIR2-like protein 3)	SIRT3 SIR2L3	SIRT3	TRUE	Mitochondria	Epigenetic Alterations	ENSG00000142082	SIRT3	protein_coding	sirtuin 3 [Source:HGNC Symbol;Acc:HGNC:14931]	-0.2920924284	 0.0908889352	 0.4487494152	-0.2796129402	 8.294523e-02	 4.248001e-01	 0	6.455406e-01	0.6573266053	
SIR5_HUMAN	Q9NXA8	NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5) (SIR2-like protein 5)	SIRT5 SIR2L5	SIRT5	TRUE	Mitochondria	Epigenetic Alterations	ENSG00000124523	SIRT5	protein_coding	sirtuin 5 [Source:HGNC Symbol;Acc:HGNC:14933]	-0.2200991380	 0.1666631539	 0.5081445787	-0.1597593520	 2.062568e-01	 5.224161e-01	 0	3.966371e-01	0.2656141576	
FBRL_HUMAN	P22087	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase) (U6 snRNA 2'-O-methyltransferase fibrillarin)	FBL FIB1 FLRN	FBL	FALSE	Protein modification	Epigenetic Alterations	ENSG00000105202	FBL	protein_coding	fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]	-0.5971083550	-0.2882424287	 0.0950565590	-0.3568794160	-2.906892e-03	 3.517956e-01	 0	1.368892e-01	0.9876175018	
ANM5_HUMAN	O14744	Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	PRMT5 HRMT1L5 IBP72 JBP1 SKB1	PRMT5	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000100462	PRMT5	protein_coding	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	-0.2203383091	 0.1664187644	 0.5079580979	-0.6826340320	-4.330395e-01	-9.296411e-02	-1	3.973398e-01	0.0149594175	CTR_ns_PAD_neg
ANM7_HUMAN	Q9NVM4	Protein arginine N-methyltransferase 7 (EC 2.1.1.321) (Histone-arginine N-methyltransferase PRMT7) ([Myelin basic protein]-arginine N-methyltransferase PRMT7)	PRMT7 KIAA1933	PRMT7	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000132600	PRMT7	protein_coding	protein arginine methyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:25557]	-0.4773954969	-0.0135441706	 0.4562106911	-0.7208295004	-4.197608e-01	 1.456534e-02	 0	9.574612e-01	0.0581752171	
ASH2L_HUMAN	Q9UBL3	Set1/Ash2 histone methyltransferase complex subunit ASH2 (ASH2-like protein)	ASH2L ASH2L1	ASH2L	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000129691	ASH2L	protein_coding	ASH2 like, histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:744]	-0.5439557031	-0.1191961865	 0.3541888917	-0.4463812049	-4.810693e-03	 4.386439e-01	 0	6.269456e-01	0.9839406341	
CARM1_HUMAN	Q86X55	Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4)	CARM1 PRMT4	CARM1	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000142453	CARM1	protein_coding	coactivator associated arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23393]	-0.7660029104	-0.5501454575	-0.2227968121	-0.5045125242	-1.828626e-01	 1.833584e-01	 1	2.420862e-03	0.3248052390	PAD_ns_CTR_neg
HDAC1_HUMAN	Q13547	Histone deacetylase 1 (HD1) (EC 3.5.1.98)	HDAC1 RPD3L1	HDAC1	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000116478	HDAC1	protein_coding	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	-0.6122504803	-0.2189208653	 0.2612678192	-0.7118184861	-3.931322e-01	 5.979029e-02	 0	3.678738e-01	0.0863872936	
HDAC2_HUMAN	Q92769	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	HDAC2	HDAC2	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000196591	HDAC2	protein_coding	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	-0.5460688826	-0.2172517113	 0.1695690612	-0.3377618219	 1.883218e-02	 3.706986e-01	 0	2.667817e-01	0.9199052988	
JMJD6_HUMAN	Q6NYC1	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR)	JMJD6 KIAA0585 PSR PTDSR	JMJD6	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000070495	JMJD6	protein_coding	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	-0.5765632162	-0.2156008762	 0.2157777137	-0.7622185309	-5.319119e-01	-1.820739e-01	 0	3.231488e-01	0.0051612749	
KDM1A_HUMAN	O60341	Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A)	KDM1A AOF2 KDM1 KIAA0601 LSD1	KDM1A	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000004487	KDM1A	protein_coding	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	-0.1005775326	 0.3251028479	 0.6501761524	-0.3467134423	 4.694294e-02	 4.265389e-01	 0	1.301135e-01	0.8198669993	
KDM3B_HUMAN	Q7LBC6	Lysine-specific demethylase 3B (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2B) (Jumonji domain-containing protein 1B) (Nuclear protein 5qNCA) ([histone H3]-dimethyl-L-lysine(9) demethylase 3B)	KDM3B C5orf7 JHDM2B JMJD1B KIAA1082	KDM3B	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000120733	KDM3B	protein_coding	lysine demethylase 3B [Source:HGNC Symbol;Acc:HGNC:1337]	-0.4361587878	-0.0292077432	 0.3876616841	-0.2447483898	 1.575388e-01	 5.135523e-01	 0	8.947536e-01	0.4421278356	
SETD3_HUMAN	Q86TU7	Actin-histidine N-methyltransferase (EC 2.1.1.85) (SET domain-containing protein 3) (hSETD3)	SETD3 C14orf154	SETD3	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000183576	SETD3	protein_coding	SET domain containing 3, actin histidine methyltransferase [Source:HGNC Symbol;Acc:HGNC:20493]	-0.3313974923	 0.0475595442	 0.4133030838	-0.3311946342	 2.622289e-02	 3.770594e-01	 0	8.100795e-01	0.8886388009	
