ENSG	ENSG.ver	name	type	description	logFC	P.Value	-log10(P.Val)	adj.P.Val
ENSG00000279814	ENSG00000279814.1	RP11-399K21.12	TEC	TEC	-0.423	8.12e-06	5.09	0.00543
ENSG00000139269	ENSG00000139269.2	INHBE	protein_coding	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	0.719	8.24e-06	5.08	0.00543
ENSG00000269001	ENSG00000269001.2	CTD-2245F17.3	transcribed_unprocessed_pseudogene	zinc finger protein 818, pseudogene	-0.472	8.91e-06	5.05	0.00543
ENSG00000087338	ENSG00000087338.4	GMCL1	protein_coding	germ cell-less 1, spermatogenesis associated [Source:HGNC Symbol;Acc:HGNC:23843]	-0.241	8.98e-06	5.05	0.00543
ENSG00000130304	ENSG00000130304.16	SLC27A1	protein_coding	solute carrier family 27 member 1 [Source:HGNC Symbol;Acc:HGNC:10995]	-0.366	9.25e-06	5.03	0.00543
ENSG00000141664	ENSG00000141664.9	ZCCHC2	protein_coding	zinc finger CCHC-type containing 2 [Source:HGNC Symbol;Acc:HGNC:22916]	0.349	9.47e-06	5.02	0.00543
ENSG00000174996	ENSG00000174996.11	KLC2	protein_coding	kinesin light chain 2 [Source:HGNC Symbol;Acc:HGNC:20716]	0.287	9.51e-06	5.02	0.00543
ENSG00000181666	ENSG00000181666.17	HKR1	protein_coding	zinc finger protein 875 [Source:HGNC Symbol;Acc:HGNC:4928]	-0.207	1.04e-05	4.98	0.00543
ENSG00000225972	ENSG00000225972.1	RP5-857K21.9	unprocessed_pseudogene	MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092]	3.63	1.04e-05	4.98	0.00543
ENSG00000169247	ENSG00000169247.12	SH3TC2	protein_coding	SH3 domain and tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:29427]	-0.456	1.06e-05	4.97	0.00543
ENSG00000254470	ENSG00000254470.2	AP5B1	protein_coding	adaptor related protein complex 5 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:25104]	0.295	1.06e-05	4.97	0.00543
ENSG00000103313	ENSG00000103313.12	MEFV	protein_coding	MEFV innate immuity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	0.844	1.07e-05	4.97	0.00543
ENSG00000145808	ENSG00000145808.9	ADAMTS19	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:HGNC Symbol;Acc:HGNC:17111]	0.96	1.1e-05	4.96	0.00548
ENSG00000123689	ENSG00000123689.5	G0S2	protein_coding	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	1.04	1.16e-05	4.93	0.00554
ENSG00000161914	ENSG00000161914.9	ZNF653	protein_coding	zinc finger protein 653 [Source:HGNC Symbol;Acc:HGNC:25196]	0.32	1.16e-05	4.93	0.00554
ENSG00000161048	ENSG00000161048.11	NAPEPLD	protein_coding	N-acyl phosphatidylethanolamine phospholipase D [Source:HGNC Symbol;Acc:HGNC:21683]	-0.323	1.29e-05	4.89	0.00594
ENSG00000141002	ENSG00000141002.19	TCF25	protein_coding	transcription factor 25 [Source:HGNC Symbol;Acc:HGNC:29181]	0.172	1.31e-05	4.88	0.00594
ENSG00000114315	ENSG00000114315.3	HES1	protein_coding	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	0.838	1.33e-05	4.88	0.00594
ENSG00000247095	ENSG00000247095.2	MIR210HG	lncRNA	MIR210 host gene [Source:HGNC Symbol;Acc:HGNC:39524]	0.539	1.39e-05	4.86	0.00609
ENSG00000090372	ENSG00000090372.14	STRN4	protein_coding	striatin 4 [Source:HGNC Symbol;Acc:HGNC:15721]	0.195	1.44e-05	4.84	0.00618
ENSG00000073910	ENSG00000073910.21	FRY	protein_coding	FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]	-0.362	1.5e-05	4.82	0.00631
ENSG00000123159	ENSG00000123159.15	GIPC1	protein_coding	GIPC PDZ domain containing family member 1 [Source:HGNC Symbol;Acc:HGNC:1226]	0.255	1.54e-05	4.81	0.00634
ENSG00000168994	ENSG00000168994.13	PXDC1	protein_coding	PX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21361]	0.406	1.59e-05	4.8	0.00634
ENSG00000177283	ENSG00000177283.7	FZD8	protein_coding	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	0.345	1.62e-05	4.79	0.00634
ENSG00000166974	ENSG00000166974.12	MAPRE2	protein_coding	microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]	0.3	1.69e-05	4.77	0.00634
ENSG00000142065	ENSG00000142065.13	ZFP14	protein_coding	ZFP14 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:29312]	-0.256	1.7e-05	4.77	0.00634
ENSG00000177030	ENSG00000177030.16	DEAF1	protein_coding	DEAF1 transcription factor [Source:HGNC Symbol;Acc:HGNC:14677]	0.303	1.7e-05	4.77	0.00634
ENSG00000280739	ENSG00000280739.2	EIF1B-AS1	lncRNA	EIF1B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44555]	-0.327	1.71e-05	4.77	0.00634
ENSG00000168621	ENSG00000168621.14	GDNF	protein_coding	glial cell derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:4232]	1.18	1.77e-05	4.75	0.0064
ENSG00000102384	ENSG00000102384.13	CENPI	protein_coding	centromere protein I [Source:HGNC Symbol;Acc:HGNC:3968]	-0.315	1.78e-05	4.75	0.0064
ENSG00000168300	ENSG00000168300.13	PCMTD1	protein_coding	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30483]	-0.233	1.81e-05	4.74	0.0064
ENSG00000163435	ENSG00000163435.15	ELF3	protein_coding	E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]	0.526	1.92e-05	4.72	0.00654
ENSG00000231615	ENSG00000231615.2	RP11-296O14.2	processed_pseudogene	novel pseudogene	-0.459	1.93e-05	4.71	0.00654
ENSG00000218823	ENSG00000218823.1	PAPOLB	protein_coding	poly(A) polymerase beta [Source:HGNC Symbol;Acc:HGNC:15970]	-0.732	1.94e-05	4.71	0.00654
ENSG00000172183	ENSG00000172183.14	ISG20	protein_coding	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	0.458	2.09e-05	4.68	0.00673
ENSG00000261654	ENSG00000261654.1	RP11-96K19.4	lncRNA	novel transcript, sense overlapping C1orf103	0.406	2.12e-05	4.67	0.00673
ENSG00000162722	ENSG00000162722.8	TRIM58	protein_coding	tripartite motif containing 58 [Source:HGNC Symbol;Acc:HGNC:24150]	1.09	2.13e-05	4.67	0.00673
ENSG00000257950	ENSG00000257950.3	P2RX5-TAX1BP3	protein_coding	P2RX5-TAX1BP3 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49191]	0.56	2.14e-05	4.67	0.00673
ENSG00000160563	ENSG00000160563.13	MED27	protein_coding	mediator complex subunit 27 [Source:HGNC Symbol;Acc:HGNC:2377]	0.199	2.15e-05	4.67	0.00673
ENSG00000128383	ENSG00000128383.12	APOBEC3A	protein_coding	apolipoprotein B mRNA editing enzyme catalytic subunit 3A [Source:HGNC Symbol;Acc:HGNC:17343]	1.2	2.33e-05	4.63	0.00719
ENSG00000223547	ENSG00000223547.9	ZNF844	protein_coding	zinc finger protein 844 [Source:HGNC Symbol;Acc:HGNC:25932]	-0.428	2.4e-05	4.62	0.00728
ENSG00000168646	ENSG00000168646.12	AXIN2	protein_coding	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	0.374	2.43e-05	4.61	0.00728
ENSG00000156398	ENSG00000156398.12	SFXN2	protein_coding	sideroflexin 2 [Source:HGNC Symbol;Acc:HGNC:16086]	-0.47	2.46e-05	4.61	0.00728
ENSG00000158578	ENSG00000158578.19	ALAS2	protein_coding	5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]	1.4	2.62e-05	4.58	0.00766
ENSG00000005486	ENSG00000005486.16	RHBDD2	protein_coding	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]	0.27	2.69e-05	4.57	0.00776
ENSG00000013563	ENSG00000013563.13	DNASE1L1	protein_coding	deoxyribonuclease 1 like 1 [Source:HGNC Symbol;Acc:HGNC:2957]	0.245	2.8e-05	4.55	0.00796
ENSG00000145390	ENSG00000145390.11	USP53	protein_coding	ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:HGNC:29255]	-0.193	2.83e-05	4.55	0.00796
ENSG00000196081	ENSG00000196081.9	ZNF724P	protein_coding	zinc finger protein 724 [Source:HGNC Symbol;Acc:HGNC:32460]	-0.344	3.11e-05	4.51	0.00864
ENSG00000163545	ENSG00000163545.8	NUAK2	protein_coding	NUAK family kinase 2 [Source:HGNC Symbol;Acc:HGNC:29558]	0.536	3.16e-05	4.5	0.00865
ENSG00000185275	ENSG00000185275.6	CD24L4	processed_pseudogene	CD24 molecule pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:1649]	0.642	3.28e-05	4.48	0.00888
ENSG00000227124	ENSG00000227124.8	ZNF717	protein_coding	zinc finger protein 717 [Source:HGNC Symbol;Acc:HGNC:29448]	-0.226	3.32e-05	4.48	0.00888
ENSG00000156958	ENSG00000156958.14	GALK2	protein_coding	galactokinase 2 [Source:HGNC Symbol;Acc:HGNC:4119]	-0.204	3.45e-05	4.46	0.0091
ENSG00000114735	ENSG00000114735.9	HEMK1	protein_coding	HemK methyltransferase family member 1 [Source:HGNC Symbol;Acc:HGNC:24923]	-0.235	3.75e-05	4.43	0.00971
ENSG00000284959	ENSG00000284959.1	RP11-114N19.3	lncRNA	novel transcript, antisense to TSHR	-0.726	3.76e-05	4.42	0.00971
ENSG00000118200	ENSG00000118200.14	CAMSAP2	protein_coding	calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]	0.289	3.83e-05	4.42	0.00975
ENSG00000188811	ENSG00000188811.13	NHLRC3	protein_coding	NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751]	-0.13	3.91e-05	4.41	0.00975
ENSG00000163421	ENSG00000163421.8	PROK2	protein_coding	prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455]	1.25	3.91e-05	4.41	0.00975
ENSG00000092068	ENSG00000092068.19	SLC7A8	protein_coding	solute carrier family 7 member 8 [Source:HGNC Symbol;Acc:HGNC:11066]	-0.459	4.15e-05	4.38	0.0102
ENSG00000163516	ENSG00000163516.13	ANKZF1	protein_coding	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	-0.205	4.27e-05	4.37	0.0103
ENSG00000264490	ENSG00000264490.3	WI2-87327B8.1	lncRNA	novel transcript	0.854	4.27e-05	4.37	0.0103
ENSG00000008516	ENSG00000008516.16	MMP25	protein_coding	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]	0.93	4.4e-05	4.36	0.0105
ENSG00000144635	ENSG00000144635.8	DYNC1LI1	protein_coding	dynein cytoplasmic 1 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]	0.188	4.59e-05	4.34	0.0108
ENSG00000213516	ENSG00000213516.9	RBMXL1	protein_coding	RBMX like 1 [Source:HGNC Symbol;Acc:HGNC:25073]	-0.162	4.79e-05	4.32	0.0112
ENSG00000162390	ENSG00000162390.17	ACOT11	protein_coding	acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]	-0.851	4.88e-05	4.31	0.0113
ENSG00000114030	ENSG00000114030.12	KPNA1	protein_coding	karyopherin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6394]	0.187	4.98e-05	4.3	0.0113
ENSG00000164463	ENSG00000164463.12	CREBRF	protein_coding	CREB3 regulatory factor [Source:HGNC Symbol;Acc:HGNC:24050]	-0.208	5e-05	4.3	0.0113
ENSG00000140450	ENSG00000140450.8	ARRDC4	protein_coding	arrestin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28087]	0.515	5.46e-05	4.26	0.0122
ENSG00000240616	ENSG00000240616.1	AD000092.3	processed_pseudogene	ribosomal protein S6 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:35948]	-0.708	5.54e-05	4.26	0.0122
ENSG00000273437	ENSG00000273437.1	RP11-434H6.7	lncRNA	novel transcript	0.464	5.63e-05	4.25	0.0122
ENSG00000161298	ENSG00000161298.17	ZNF382	protein_coding	zinc finger protein 382 [Source:HGNC Symbol;Acc:HGNC:17409]	-0.641	5.64e-05	4.25	0.0122
ENSG00000183778	ENSG00000183778.17	B3GALT5	protein_coding	beta-1,3-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:920]	1.1	5.72e-05	4.24	0.0122
ENSG00000256628	ENSG00000256628.3	RP11-454H13.5	lncRNA	ZBTB11 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48573]	0.236	5.82e-05	4.24	0.0122
ENSG00000108639	ENSG00000108639.7	SYNGR2	protein_coding	synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]	0.252	5.86e-05	4.23	0.0122
ENSG00000214189	ENSG00000214189.8	ZNF788	transcribed_unprocessed_pseudogene	zinc finger family member 788, pseudogene [Source:HGNC Symbol;Acc:HGNC:33112]	-0.37	5.87e-05	4.23	0.0122
ENSG00000229689	ENSG00000229689.3	AC009237.8	transcribed_unprocessed_pseudogene	Ankyrin repeat domain-containing protein pseudogene	-0.425	5.88e-05	4.23	0.0122
ENSG00000272750	ENSG00000272750.1	RP11-378J18.8	lncRNA	novel transcript, antisense to MIA3	0.34	6.11e-05	4.21	0.0125
ENSG00000117616	ENSG00000117616.17	RSRP1	protein_coding	arginine and serine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234]	-0.27	6.26e-05	4.2	0.0125
ENSG00000111266	ENSG00000111266.8	DUSP16	protein_coding	dual specificity phosphatase 16 [Source:HGNC Symbol;Acc:HGNC:17909]	0.252	6.29e-05	4.2	0.0125
ENSG00000196605	ENSG00000196605.7	ZNF846	protein_coding	zinc finger protein 846 [Source:HGNC Symbol;Acc:HGNC:27260]	-0.185	6.29e-05	4.2	0.0125
ENSG00000260645	ENSG00000260645.1	RP11-250B2.5	lncRNA	novel transcript	-0.4	6.59e-05	4.18	0.0127
ENSG00000153066	ENSG00000153066.12	TXNDC11	protein_coding	thioredoxin domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28030]	0.197	6.6e-05	4.18	0.0127
ENSG00000161956	ENSG00000161956.12	SENP3	protein_coding	SUMO specific peptidase 3 [Source:HGNC Symbol;Acc:HGNC:17862]	0.126	6.67e-05	4.18	0.0127
ENSG00000146426	ENSG00000146426.18	TIAM2	protein_coding	TIAM Rac1 associated GEF 2 [Source:HGNC Symbol;Acc:HGNC:11806]	0.605	6.67e-05	4.18	0.0127
ENSG00000159708	ENSG00000159708.17	LRRC36	protein_coding	leucine rich repeat containing 36 [Source:HGNC Symbol;Acc:HGNC:25615]	2	6.67e-05	4.18	0.0127
ENSG00000184730	ENSG00000184730.10	APOBR	protein_coding	apolipoprotein B receptor [Source:HGNC Symbol;Acc:HGNC:24087]	0.628	6.85e-05	4.16	0.0129
ENSG00000161036	ENSG00000161036.12	LRWD1	protein_coding	leucine rich repeats and WD repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21769]	0.225	7.04e-05	4.15	0.0131
ENSG00000214367	ENSG00000214367.7	HAUS3	protein_coding	HAUS augmin like complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28719]	-0.147	7.05e-05	4.15	0.0131
ENSG00000148677	ENSG00000148677.6	ANKRD1	protein_coding	ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]	1.31	7.14e-05	4.15	0.0132
ENSG00000170677	ENSG00000170677.5	SOCS6	protein_coding	suppressor of cytokine signaling 6 [Source:HGNC Symbol;Acc:HGNC:16833]	0.23	7.21e-05	4.14	0.0132
ENSG00000196470	ENSG00000196470.11	SIAH1	protein_coding	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	0.264	7.57e-05	4.12	0.0135
ENSG00000279489	ENSG00000279489.1	RP11-392A14.8	TEC	tec	0.537	7.61e-05	4.12	0.0135
ENSG00000085982	ENSG00000085982.13	USP40	protein_coding	ubiquitin specific peptidase 40 [Source:HGNC Symbol;Acc:HGNC:20069]	-0.217	7.64e-05	4.12	0.0135
ENSG00000214029	ENSG00000214029.4	ZNF891	protein_coding	zinc finger protein 891 [Source:HGNC Symbol;Acc:HGNC:38709]	-0.253	7.71e-05	4.11	0.0135
ENSG00000198742	ENSG00000198742.9	SMURF1	protein_coding	SMAD specific E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:16807]	0.307	7.85e-05	4.11	0.0135
ENSG00000050820	ENSG00000050820.16	BCAR1	protein_coding	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	0.294	7.96e-05	4.1	0.0135
ENSG00000169217	ENSG00000169217.8	CD2BP2	protein_coding	CD2 cytoplasmic tail binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1656]	0.141	8.03e-05	4.1	0.0135
ENSG00000230772	ENSG00000230772.1	RP13-401N8.5	unprocessed_pseudogene	vomeronasal 1 receptor 108 pseudogene [Source:HGNC Symbol;Acc:HGNC:37432]	-0.362	8.04e-05	4.09	0.0135
ENSG00000223849	ENSG00000223849.1	RP11-80I15.1	processed_pseudogene	ribosomal protein S26 (RPS26) pseudogene	0.729	8.09e-05	4.09	0.0135
ENSG00000251034	ENSG00000251034.1	RP11-582J16.4	lncRNA	novel transcript	-0.675	8.11e-05	4.09	0.0135
ENSG00000189367	ENSG00000189367.14	KIAA0408	protein_coding	KIAA0408 [Source:HGNC Symbol;Acc:HGNC:21636]	-0.438	8.15e-05	4.09	0.0135
ENSG00000158796	ENSG00000158796.16	DEDD	protein_coding	death effector domain containing [Source:HGNC Symbol;Acc:HGNC:2755]	0.166	8.22e-05	4.09	0.0135
ENSG00000139579	ENSG00000139579.12	NABP2	protein_coding	nucleic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28412]	0.314	8.33e-05	4.08	0.0135
ENSG00000071127	ENSG00000071127.16	WDR1	protein_coding	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	0.211	8.33e-05	4.08	0.0135
ENSG00000108799	ENSG00000108799.12	EZH1	protein_coding	enhancer of zeste 1 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3526]	-0.159	8.34e-05	4.08	0.0135
ENSG00000184545	ENSG00000184545.10	DUSP8	protein_coding	dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:HGNC:3074]	0.472	8.45e-05	4.07	0.0136
ENSG00000168826	ENSG00000168826.15	ZBTB49	protein_coding	zinc finger and BTB domain containing 49 [Source:HGNC Symbol;Acc:HGNC:19883]	0.292	8.55e-05	4.07	0.0136
ENSG00000250392	ENSG00000250392.2	RP11-700N1.1	lncRNA	long intergenic non-protein coding RNA 2502 [Source:HGNC Symbol;Acc:HGNC:53491]	1.06	8.58e-05	4.07	0.0136
ENSG00000172175	ENSG00000172175.12	MALT1	protein_coding	MALT1 paracaspase [Source:HGNC Symbol;Acc:HGNC:6819]	-0.257	8.73e-05	4.06	0.0137
ENSG00000170271	ENSG00000170271.10	FAXDC2	protein_coding	fatty acid hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1334]	-0.297	8.77e-05	4.06	0.0137
ENSG00000139364	ENSG00000139364.10	TMEM132B	protein_coding	transmembrane protein 132B [Source:HGNC Symbol;Acc:HGNC:29397]	1.06	8.85e-05	4.05	0.0138
ENSG00000156853	ENSG00000156853.12	ZNF689	protein_coding	zinc finger protein 689 [Source:HGNC Symbol;Acc:HGNC:25173]	0.214	8.94e-05	4.05	0.0138
ENSG00000238243	ENSG00000238243.3	OR2W3	protein_coding	olfactory receptor family 2 subfamily W member 3 [Source:HGNC Symbol;Acc:HGNC:15021]	1.4	9.2e-05	4.04	0.014
ENSG00000254635	ENSG00000254635.5	RP11-164A7.1	lncRNA	WAC antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:27347]	-0.193	9.23e-05	4.03	0.014
ENSG00000133661	ENSG00000133661.15	SFTPD	protein_coding	surfactant protein D [Source:HGNC Symbol;Acc:HGNC:10803]	0.967	9.29e-05	4.03	0.014
ENSG00000066427	ENSG00000066427.22	ATXN3	protein_coding	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	-0.204	9.45e-05	4.02	0.0141
ENSG00000103257	ENSG00000103257.8	SLC7A5	protein_coding	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	0.48	9.49e-05	4.02	0.0141
ENSG00000135821	ENSG00000135821.18	GLUL	protein_coding	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	-0.548	9.52e-05	4.02	0.0141
ENSG00000251364	ENSG00000251364.6	CTD-2516F10.2	lncRNA	novel transcript, antisense to OLFML1	-0.382	9.62e-05	4.02	0.0141
ENSG00000186792	ENSG00000186792.16	HYAL3	protein_coding	hyaluronidase 3 [Source:HGNC Symbol;Acc:HGNC:5322]	0.497	9.65e-05	4.02	0.0141
ENSG00000261390	ENSG00000261390.5	RP11-345M22.2	lncRNA	MAF transcriptional regulator RNA [Source:HGNC Symbol;Acc:HGNC:51525]	-0.739	9.7e-05	4.01	0.0141
ENSG00000185105	ENSG00000185105.5	MYADML2	protein_coding	myeloid associated differentiation marker like 2 [Source:HGNC Symbol;Acc:HGNC:34548]	0.387	9.77e-05	4.01	0.0141
ENSG00000196967	ENSG00000196967.10	ZNF585A	protein_coding	zinc finger protein 585A [Source:HGNC Symbol;Acc:HGNC:26305]	-0.203	9.9e-05	4	0.0141
